1, LUNDA CONSTRUCTION COMPANY,2, "EDWARD KRAEMER & SONS, INC.",3, AL JOHNSON CONSTRUCTION CO.
20351, "REMOVING OLD BRIDGE,          STATION 3+705 RT.", 1.00, LS, 588500.00, 588500.00, 404200.00, 404200.00, 1090000.00, 1090000.00
20610, "EXCAVATION FOR STRUCTURES,    BRIDGES B-5-311", 1.00, LS, 25000.00, 25000.00, 77000.00, 77000.00, 250000.00, 250000.00
20650, COFFERDAMS, 1.00, LS, 1075000.00, 1075000.00, 242000.00, 242000.00, 500000.00, 500000.00
20901, GRANULAR BACKFILL, 3800.00, M3, 10.00, 38000.00, 10.35, 39330.00, 20.00, 76000.00
50201, "CONCRETE MASONRY, BRIDGES", 4278.00, M3, 240.00, 1026720.00, 268.00, 1146504.00, 455.00, 1946490.00
50211, "CONCRETE MASONRY, SEAL", 3804.00, M3, 165.00, 627660.00, 95.00, 361380.00, 250.00, 951000.00
50262, "CONCRETE MASONRY ANCHORS,     TYPE S, M 20", 216.00, EACH, 20.00, 4320.00, 18.50, 3996.00, 20.00, 4320.00
50504, "HIGH STRENGTH BAR STEEL       REINFORCEMENT, BRIDGES", 118500.00, KG, 1.10, 130350.00, 1.07, 126795.00, 1.25, 148125.00
50511, "COATED HIGH STRENGTH BAR STEEL REINFORCEMENT, BRIDGES", 86339.00, KG, 1.20, 103606.80, 1.13, 97563.07, 1.35, 116557.65
50601, STRUCTURAL CARBON STEEL, 616341.00, KG, 4.66, 2872149.06, 4.70, 2896802.70, 5.20, 3204973.20
50606, HIGH STRENGTH STRUCTURAL STEEL, 150415.00, KG, 4.66, 700933.90, 4.70, 706950.50, 5.00, 752075.00
50610, STEEL CASTINGS, 80376.00, KG, 3.50, 281316.00, 4.38, 352046.88, 5.00, 401880.00
50630, "WELDED STUD SHEAR CONNECTORS, 22 X 100 MM", 208.00, EACH, 5.00, 1040.00, 2.50, 520.00, 2.50, 520.00
50631, "WELDED STUD SHEAR CONNECTORS, 22 X 125 MM", 1320.00, EACH, 5.00, 6600.00, 2.75, 3630.00, 2.50, 3300.00
50633, "WELDED STUD SHEAR CONNECTORS, 22 X 175 MM", 928.00, EACH, 5.00, 4640.00, 3.00, 2784.00, 2.50, 2320.00
51130, PILE POINTS, 82.00, EACH, 100.00, 8200.00, 154.00, 12628.00, 200.00, 16400.00
51706, "PAINTING, EPOXY SYSTEM,       STRUCTURE B-5-311", 1.00, LS, 275000.00, 275000.00, 325300.00, 325300.00, 325000.00, 325000.00
61910, MOBILIZATION, 1.00, LS, 1267000.00, 1267000.00, 1056225.00, 1056225.00, 900000.00, 900000.00
64220, "FIELD OFFICE, TYPE C", 1.00, LS, 5000.00, 5000.00, 12000.00, 12000.00, 20000.00, 20000.00
90001, SYSTEMS COORDINATOR, 1.00, LS, 25000.00, 25000.00, 57000.00, 57000.00, 55000.00, 55000.00
90002, "CONSTRUCTION STAKING,         STRUCTURE B-5-311", 1.00, LS, 6000.00, 6000.00, 99600.00, 99600.00, 20000.00, 20000.00
90003, ASBESTOS REMOVAL, 1.00, LS, 5000.00, 5000.00, 10850.00, 10850.00, 10000.00, 10000.00
90004, RIVER DREDGING, 9960.00, M3, 10.00, 99600.00, 20.00, 199200.00, 20.00, 199200.00
90005, DISPOSAL OF DREDGED AND       EXCAVATED RIVER SEDIMENT, 15968.00, M3, 15.50, 247504.00, 6.54, 104430.72, 5.00, 79840.00
90006, "CAISSONS, 2.4M", 558.00, M, 3400.00, 1897200.00, 4897.00, 2732526.00, 5000.00, 2790000.00
90007, ROCK SOCKETS, 72.00, M, 9150.00, 658800.00, 9000.00, 648000.00, 10000.00, 720000.00
90008, "STEEL PILING, DELIVERED AND   DRIVEN, HP 355MM X 109 KG/M", 2380.00, M, 88.00, 209440.00, 94.00, 223720.00, 250.00, 595000.00
90009, "TREATED TIMBER AND LUMBER,    FENDERS AND WALKWAY", 80.00, M3, 3900.00, 312000.00, 1650.00, 132000.00, 2500.00, 200000.00
90010, CABLE ASSEMBLY FOR FENDER     SYSTEM, 1.00, LS, 85000.00, 85000.00, 67100.00, 67100.00, 50000.00, 50000.00
90011, CABLE ASSEMBLIES FOR RUBBER   BUMPERS, 1.00, LS, 10000.00, 10000.00, 37200.00, 37200.00, 30000.00, 30000.00
90012, PROTECTION CELLS, 1.00, LS, 775000.00, 775000.00, 713000.00, 713000.00, 800000.00, 800000.00
90013, EXCAVATION FOR PROTECTION     CELLS, 2900.00, M3, 5.00, 14500.00, 24.00, 69600.00, 75.00, 217500.00
90014, RUBBER BUMPERS FOR            PROTECTION CELLS, 1.00, LS, 45000.00, 45000.00, 24000.00, 24000.00, 40000.00, 40000.00
90015, CLEARANCE GAUGES, 1.00, LS, 2500.00, 2500.00, 4100.00, 4100.00, 2000.00, 2000.00
90016, OPERATOR'S HOUSE AND          MISCELLANEOUS WORK, 1.00, LS, 275000.00, 275000.00, 408400.00, 408400.00, 400000.00, 400000.00
90017, PLUMBING WORK, 1.00, LS, 32000.00, 32000.00, 36500.00, 36500.00, 60000.00, 60000.00
90018, HVAC WORK, 1.00, LS, 15000.00, 15000.00, 15600.00, 15600.00, 10000.00, 10000.00
90019, EXODERMIC BRIDGE DECK         (CAST-IN-PLACE), 1095.00, M2, 250.00, 273750.00, 355.00, 388725.00, 550.00, 602250.00
90020, "TUBULAR RAILING, TYPE F,      MODIFIED", 1.00, LS, 45000.00, 45000.00, 42200.00, 42200.00, 100000.00, 100000.00
90021, COUNTERWEIGHT CONCRETE, 524.00, M3, 150.00, 78600.00, 458.00, 239992.00, 650.00, 340600.00
90022, COUNTERWEIGHT STEEL, 56000.00, KG, 0.10, 5600.00, 1.50, 84000.00, 1.00, 56000.00
90023, PROTECTIVE SURFACE            TREATMENT, 1403.00, M2, 4.00, 5612.00, 11.00, 15433.00, 13.00, 18239.00
90024, INTREGRATED BRIDGE CONTROL    SYSTEM, 1.00, LS, 150000.00, 150000.00, 200000.00, 200000.00, 200000.00, 200000.00
90025, ELECTRICAL WORK, 1.00, LS, 450000.00, 450000.00, 510000.00, 510000.00, 550000.00, 550000.00
90026, SPAN DRIVE MACHINERY, 1.00, LS, 460000.00, 460000.00, 666600.00, 666600.00, 700000.00, 700000.00
